animal_name,hair,feathers,eggs,milk,airbone,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
